canonical,variants,total_amount,edge_count,fec_id,evidence,approve_yn
PRIORITIES USA ACTION,Priorities USA Action,471600682,21,C00495861,casing only; FEC ID C00495861,
WinSenate,Winsenate,309336079,17,C00865444,casing only; FEC ID C00865444,
AMERICAN CROSSROADS,American Crossroads,215434052,16,C00487363,casing only; FEC ID C00487363,
Ab Pac,AB PAC,92692627,4,C00492140,casing only; FEC ID C00492140,
Restoration PAC,Restoration Pac,81977107,13,,casing only,
Never Back Down Inc,NEVER BACK DOWN INC. | Never Back Down,78618320,7,C00834077,FEC ID C00834077,
Hmp,HMP,66464963,92,C00495028,casing only; FEC ID C00495028,
National Republican Senatorial Committee,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,63038492,14,,casing only,
Best of America PAC,Best of America Pac,56672067,3,C00842344,casing only; FEC ID C00842344,
RBG PAC,Rbg Pac,55076000,2,C00891291,casing only; FEC ID C00891291,
UNITED DEMOCRACY PROJECT ('UDP'),UNITED DEMOCRACY PROJECT (UDP),39188996,6,C00799031,FEC ID C00799031,
Buckeye Values Pac,Buckeye Values PAC,27214479,4,C00834630,casing only; FEC ID C00834630,
ESAFUND,Esafund,16653598,11,C00489856,casing only; FEC ID C00489856,
JUSTICE DEMOCRATS PAC,Justice Democrats PAC,16432522,23,C00630665,casing only; FEC ID C00630665,
Working Families Party PAC,WORKING FAMILIES PARTY PAC,16367191,55,C00606962,casing only; FEC ID C00606962,
WORKER POWER PAC FOR GEORGIA,Worker Power PAC for Georgia,14810000,3,C00828533,casing only; FEC ID C00828533,
"FREEDOM PARTNERS ACTION FUND, INC.",FREEDOM PARTNERS ACTION FUND INC,13691721,2,C00564765,FEC ID C00564765,
Put Utah First PAC,Put Utah First Pac,13526936,2,C00792259,casing only; FEC ID C00792259,
Evergreen Principles PAC,Evergreen Principles Pac,12957705,2,C00819664,casing only; FEC ID C00819664,
Emily's List,EMILY'S LIST,12673539,75,C00193433,casing only; FEC ID C00193433,
Truth and Courage PAC,Truth and Courage Pac,10474172,3,C00796045,casing only; FEC ID C00796045,
American Dream Federal Action,AMERICAN DREAM FEDERAL ACTION,10460441,9,C00809020,casing only; FEC ID C00809020,
