candidate,committee_name,committee_id,jurisdiction,treasurer,status,source_url
"Porter","Katie Porter for Governor 2026","19120 (Ballot Book)","CA state","Alexander Warren (likely; unconfirmed from primary source)","Active","https://theballotbook.com/campaign_finance/committees/19120/receipts"
"Porter","Katie Porter for Congress","C00636571","federal FEC","Alexander Warren","Winding down","https://www.fec.gov/data/committee/C00636571/"
"Porter","Katie Porter for Senate","C00831107","federal FEC","Alexander Warren","Winding down","https://www.fec.gov/data/committee/C00831107/"
"Porter","Truth to Power (leadership PAC)","C00747766","federal FEC","Alexander Warren","Active","https://www.opensecrets.org/political-action-committees-pacs/truth-to-power/C00747766/summary/2024"
"Porter","OVRSITE PAC (IE - supporting Porter)","C00854869","federal FEC","not confirmed","Active (Senate 2024)","https://www.opensecrets.org/political-action-committees-pacs/ovrsite-pac/C00854869/independent-expenditures/2024"
"Porter","WHITEBOARD (IE - supporting Porter Senate)","not confirmed","federal FEC","not confirmed","Active (Senate 2024)","https://www.latimes.com/california/story/2024-02-27/california-senate-election-donors-super-pacs-independent-expenditures-schiff-porter-lee-garvey"
"Becerra","Becerra for Governor 2026","1480025","CA state","not confirmed","Active","https://theballotbook.com/campaign_finance/committees/19177"
"Becerra","Becerra for Congress","C00264101","federal FEC","not confirmed","Closed/winding down","https://projects.propublica.org/itemizer/committee/C00264101/2016"
"Becerra","Leadership for Today & Tomorrow (leadership PAC)","not confirmed","federal FEC","not confirmed","Closed","https://www.opensecrets.org/members-of-congress/xavier-becerra/industries?cycle=2016"
"Villaraigosa","Antonio Villaraigosa for Governor 2026","1471635","CA state","not confirmed","Active","https://theballotbook.com/campaign_finance/committees/6700/receipts"
"Villaraigosa","Straight From the Heart of California (IE - supporting Villaraigosa)","1486030","CA state","not confirmed","Active","https://theballotbook.com/campaign_finance/committees/20271/receipts"
"Villaraigosa","Elect Villaraigosa Governor of California 2018","not confirmed","CA state","not confirmed","Closed","https://maplightarchive.org/story/charter-school-advocates-spend-record-high-in-ca-governors-race/"
"Steyer","Steyer for Governor 2026","1485077","CA state","not confirmed","Active","https://theballotbook.com/campaign_finance/committees/19684/receipts"
"Steyer","Tom Steyer 2020 (presidential)","C00711614","federal FEC","Hunter Blas","Closed","https://www.fec.gov/data/committee/C00711614/"
"Steyer","NextGen Climate Action Committee (super PAC)","C00547349","federal FEC","Keith Yetter","Active","https://www.fec.gov/data/committee/C00547349/"
"Steyer","NextGen Climate Action (501c4)","EIN 46-1957345","501c4","not confirmed","Active","https://projects.propublica.org/nonprofits/organizations/461957345"
"Steyer","Need to Impeach (501c4)","not confirmed","501c4","not confirmed","Closed April 2020","https://www.cnbc.com/2020/04/16/2020-election-tom-steyer-shuts-down-need-to-impeach-operation.html"
"Steyer","NextGen Policy (501c4)","not confirmed","501c4","Kat Taylor (Chair)","Active","https://www.influencewatch.org/non-profit/tomkat-ranch-educational-foundation-tkref/"
"Hilton","Hilton for Governor 2026","1480425-CAO","CA state","not confirmed","Active","https://www.transparencyusa.org/ca/committee/steve-hilton-for-governor-2026-1480425-cao/contributors"
"Hilton","Golden Together (501c4)","not confirmed (no 990 found)","501c4","Steve Hilton (founder)","Active","https://goldentogether.com/advisory-board/"
"Thurmond","Tony Thurmond for Governor 2026","1461509-CTL","CA state","not confirmed","Active","https://www.transparencyusa.org/ca/committee/tony-thurmond-for-governor-2026-1461509-ctl"
"Thurmond","Californians Supporting Tony Thurmond for Superintendent of Public Instruction 2022","1448022","CA state","not confirmed","Closed","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2022-primary-election/"
"Thurmond","Educators Supporting Tony Thurmond for Superintendent of Public Instruction 2018","not confirmed","CA state","not confirmed","Closed","https://www.fppc.ca.gov/transparency/top-contributors/nov-18-gen.html"
"Mahan","Mahan for Governor 2026","1486858","CA state","Ted Trujillo (San Martin); Asst: Stacy Owens","Active","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/"
"Mahan","California Back To Basics Supporting Matt Mahan For Governor 2026 (IE)","1487425","CA state","not confirmed","Active","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/"
"Mahan","Deliver for California – Matt Mahan for Governor 2026 (IE)","1488716","CA state","not confirmed","Active","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/"
"Mahan","Back to Basics California (501c4 - dark money vehicle)","not confirmed (no 990 found)","501c4","Jim Reed (Dec 2025-present); Adrian Rafizadeh (Nov 2024 CEO)","Active","https://www.sanjoseinside.com/politics/bold-play-mahan-committee-drops-1-5-million-super-bowl-ad/"
"Bianco","Bianco for Governor 2026","1479095","CA state","not confirmed","Active","https://www.transparencyusa.org/ca/committee/bianco-for-governor-2026-1479095-cao"
"Bianco","Chad Bianco for Sheriff (2018)","1397860","CA state","not confirmed","Closed","https://rcdsa.org/images/assets/APB/PDFs/RCDSA_APB__2018.pdf"
"Bianco","Bianco Legal Defense Fund","not confirmed","CA state","not confirmed","Active","https://patch.com/california/palmdesert/rivco-sheriff-whos-running-ca-governor-asks-financial-help-pay-his-lawyers"
"Bianco","Riverside Sheriff's Charities Inc. (nonprofit - gray area)","EIN not confirmed","501c3/nonprofit","Chad Bianco (President/Director)","Active","https://www.facebook.com/rivconews/posts/as-sheriff-biancos-public-profile-widens-residents-examine-overlapping-roles-and/1444314751029715/"
"Swalwell","Swalwell for Governor 2026","not confirmed (Cal-Access blocked)","CA state","Eric Swalwell (self-installed Apr 24 2026)","Suspended","https://www.instagram.com/p/DXh5Ly8FMiX/"
"Swalwell","Californians for a Fighter in Support of Eric Swalwell for Governor 2026 (IE)","1488732","CA state","not confirmed","Active (funds orphaned)","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/"
"Swalwell","Nurses and Educators Supporting Swalwell for Governor 2026 sponsored by SEIU (IE)","1489873","CA state","not confirmed","Active (funds orphaned)","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/"
"Swalwell","Swalwell for Congress (House)","H2CA15094","federal FEC","not confirmed","Suspended/winding down","https://www.fec.gov/data/candidate/H2CA15094/"
"Swalwell","Remedy PAC (leadership PAC)","not confirmed","federal FEC","not confirmed","Active/winding down","https://www.opensecrets.org/members-of-congress/eric-swalwell/summary"
"Field/multi","Californians for Resilient & Affordable Energy No on Steyer for Governor 2026 (anti-Steyer IE)","not confirmed","CA state","not confirmed","Active","https://energyandpolicy.org/becerra-150k-from-ca-utilities/"
"Field/multi","California is Not for Sale No on Steyer for Governor 2026 a Coalition of Housing Advocates Labor and Small Business (anti-Steyer IE)","1489677","CA state","not confirmed","Active","https://www.fppc.ca.gov/search-filings/top-10-contributors-list/june-2026-primary-election/"
