ein,entity_id,vault_name,vault_url,profile_path,irs_filer_name,has_990_filings,filing_years,in_vault
460827839,ent_000139,AbbVie,https://thedonormap.org/Donors%20&%20Power%20Networks/Pharma%20&%20Healthcare/AbbVie,content/Donors & Power Networks/Pharma & Healthcare/AbbVie.md,AbbVie Foundation,true,2018|2019|2020|2021|2022|2023,true
136213516,ent_001508,ACLU Foundation,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/ACLU%20Foundation,content/Donors & Power Networks/Dark Money/ACLU Foundation.md,AMERICAN CIVIL LIBERTIES UNION,true,2021|2023,true
455097038,ent_000361,ActBlue,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/ActBlue,content/Donors & Power Networks/Dark Money/ActBlue.md,ActBlue Civics Inc,true,2020|2022|2023|2024,true
223769645,ent_000155,Adelson Family,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Adelson%20Family,content/Donors & Power Networks/Mega-Donors/Adelson Family.md,ADELSON FAMILY FOUNDATION,true,2018|2019|2020|2022|2023|2024,true
251331251,ent_000240,AFGE - American Federation of Government Employees,https://thedonormap.org/Donors%20&%20Power%20Networks/Labor%20Unions/AFGE%20-%20American%20Federation%20of%20Government%20Employees,content/Donors & Power Networks/Labor Unions/AFGE - American Federation of Government Employees.md,,false,,true
746062811,ent_000241,AFL-CIO,https://thedonormap.org/Donors%20&%20Power%20Networks/Labor%20Unions/AFL-CIO,content/Donors & Power Networks/Labor Unions/AFL-CIO.md,MACHINISTS AFL-CIO,true,2021|2023,true
332579905,ent_000242,AFSCME - American Federation of State County and Municipal Employees,https://thedonormap.org/Donors%20&%20Power%20Networks/Labor%20Unions/AFSCME%20-%20American%20Federation%20of%20State%20County%20and%20Municipal%20Employees,content/Donors & Power Networks/Labor Unions/AFSCME - American Federation of State County and Municipal Employees.md,,false,,true
530217164,ent_000260,AIPAC - American Israel Public Affairs Committee,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/AIPAC%20-%20American%20Israel%20Public%20Affairs%20Committee,content/Donors & Power Networks/Israel Lobby/AIPAC - American Israel Public Affairs Committee.md,American Israel Public Affairs Committee,true,2018|2019|2020|2021|2022|2023|2024,true
833135259,ent_000288,Airbnb,https://thedonormap.org/Donors%20&%20Power%20Networks/Gig%20Economy/Airbnb,content/Donors & Power Networks/Gig Economy/Airbnb.md,AIRBNBORG INC,true,2020|2022|2023|2024,true
881770844,ent_000304,Alabama Power,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Alabama%20Power,content/Donors & Power Networks/Energy & Utilities/Alabama Power.md,,false,,true
541660459,ent_000364,Alliance Defending Freedom,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Alliance%20Defending%20Freedom,content/Donors & Power Networks/Dark Money/Alliance Defending Freedom.md,Alliance Defending Freedom,true,2018|2019|2020|2021|2022|2023,true
830411414,ent_001484,Alpine Group,https://thedonormap.org/Lobbying%20Firms%20&%20K%20Street/Alpine%20Group,content/Lobbying Firms & K Street/Alpine Group.md,ALPINE WATERSHED GROUP,true,2018|2019|2020|2021|2022|2023|2024,true
873103053,ent_000040,Amazon,https://thedonormap.org/Donors%20&%20Power%20Networks/Tech%20&%20Crypto/Amazon,content/Donors & Power Networks/Tech & Crypto/Amazon.md,,false,,true
854202763,ent_000365,America First Policy Institute,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/America%20First%20Policy%20Institute,content/Donors & Power Networks/Dark Money/America First Policy Institute.md,AMERICA FIRST POLICY INSTITUTE INC,true,2022|2023,true
264568349,ent_000366,America Votes,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/America%20Votes,content/Donors & Power Networks/Dark Money/America Votes.md,AMERICA VOTES,true,2020|2021|2022|2023,true
270730508,ent_000367,American Action Network,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/American%20Action%20Network,content/Donors & Power Networks/Dark Money/American Action Network.md,American Action Network Inc,true,2021|2022|2023,true
341747398,ent_001514,American Endowment Foundation,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/American%20Endowment%20Foundation,content/Donors & Power Networks/Wall Street/American Endowment Foundation.md,AMERICAN ENDOWMENT FOUNDATION,true,2020|2022,true
530218495,ent_000368,American Enterprise Institute,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/American%20Enterprise%20Institute,content/Donors & Power Networks/Dark Money/American Enterprise Institute.md,AMERICAN ENTERPRISE INSTITUTE FOR PUBLIC,true,2019|2020|2021|2022|2023|2024,true
360725160,ent_000444,American Farm Bureau Federation,https://thedonormap.org/Donors%20&%20Power%20Networks/Agriculture/American%20Farm%20Bureau%20Federation,content/Donors & Power Networks/Agriculture/American Farm Bureau Federation.md,AMERICAN FARM BUREAU FEDERATION,true,2018|2019|2020|2021|2022|2023|2024,true
330627955,ent_000333,American Federation for Children,https://thedonormap.org/Donors%20&%20Power%20Networks/Education/American%20Federation%20for%20Children,content/Donors & Power Networks/Education/American Federation for Children.md,AMERICAN FEDERATION FOR CHILDREN INC,true,2018|2019|2020|2022|2023|2024,true
530115970,ent_000305,American Fuel and Petrochemical Manufacturers,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/American%20Fuel%20and%20Petrochemical%20Manufacturers,content/Donors & Power Networks/Energy & Utilities/American Fuel and Petrochemical Manufacturers.md,AMERICAN FUEL AND PETROCHEMICAL,true,2019|2020|2022|2023,true
931169142,ent_000289,American Gaming Association,https://thedonormap.org/Donors%20&%20Power%20Networks/Gig%20Economy/American%20Gaming%20Association,content/Donors & Power Networks/Gig Economy/American Gaming Association.md,AMERICAN GAMING ASSOCIATION,true,2018|2019|2020|2022|2023|2024,true
131832448,ent_000341,American Iron and Steel Institute,https://thedonormap.org/Donors%20&%20Power%20Networks/Defense%20&%20Intelligence/American%20Iron%20and%20Steel%20Institute,content/Donors & Power Networks/Defense & Intelligence/American Iron and Steel Institute.md,AMERICAN IRON AND STEEL INSTITUTE,true,2018|2019|2020|2021|2022|2023,true
130433430,ent_000306,American Petroleum Institute,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/American%20Petroleum%20Institute,content/Donors & Power Networks/Energy & Utilities/American Petroleum Institute.md,AMERICAN PETROLEUM INSTITUTE,true,2018|2019|2020|2022|2023|2024,true
753148958,ent_000082,Americans for Prosperity,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/Americans%20for%20Prosperity,content/Donors & Power Networks/Super PACs/Americans for Prosperity.md,AMERICANS FOR PROSPERITY,true,2018|2019|2020|2022|2023,true
352122763,ent_000275,Anthem - Elevance Health,https://thedonormap.org/Donors%20&%20Power%20Networks/Healthcare/Anthem%20-%20Elevance%20Health,content/Donors & Power Networks/Healthcare/Anthem - Elevance Health.md,Anthem Foundation INC,true,2018|2019|2020|2021|2022|2023|2024,true
920526891,ent_000041,Anthropic,https://thedonormap.org/Donors%20&%20Power%20Networks/Tech%20&%20Crypto/Anthropic,content/Donors & Power Networks/Tech & Crypto/Anthropic.md,,false,,true
